Year;ICD10 Code;ICD10 Diagnosis;Diagnosis Type;Metric;Sex;Value
20.12.2013;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;;65590
20.12.2013;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;;11578
20.12.2013;All codes;All admissions;All admissions;Attributable number;;460900
20.12.2013;C00-D48;All cancers;All cancers;Attributable number;;156600
20.12.2013;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;;131000
20.12.2013;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;;134300
20.12.2013;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;;18500
20.12.2013;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;;67800
20.12.2013;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;;13500
20.12.2013;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;;19100
20.12.2013;C32;Larynx;Cancers which can be caused by smoking;Attributable number;;3800
20.12.2013;C53;Cervical;Cancers which can be caused by smoking;Attributable number;;800
20.12.2013;C67;Bladder;Cancers which can be caused by smoking;Attributable number;;29600
20.12.2013;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;;3400
20.12.2013;C16;Stomach;Cancers which can be caused by smoking;Attributable number;;4000
20.12.2013;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;;5400
20.12.2013;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;;2600
20.12.2013;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;;6600
20.12.2013;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;;4800
20.12.2013;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;;90100
20.12.2013;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;;36000
20.12.2013;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;;38800
20.12.2013;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;;61700
20.12.2013;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;;7300
20.12.2013;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;;16900
20.12.2013;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;;7300
20.12.2013;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;;2300
20.12.2013;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;;10800
20.12.2013;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;;5300
20.12.2013;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;;2400
20.12.2013;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;;13600
20.12.2013;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;;6400
20.12.2013;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;;500
20.12.2013;All codes;All admissions;All admissions;Number of admissions;Male;4829192
20.12.2013;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;Male;877193
20.12.2013;C00-D48;All cancers;All cancers;Number of admissions;Male;768453
20.12.2013;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;Male;267664
20.12.2013;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;Male;510102
20.12.2013;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;Male;669547
20.12.2013;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;Male;46455
20.12.2013;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;Male;14759
20.12.2013;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;Male;20724
20.12.2013;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;Male;3924
20.12.2013;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;Male;.
20.12.2013;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;Male;56679
20.12.2013;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;Male;9227
20.12.2013;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;Male;13762
20.12.2013;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;Male;12024
20.12.2013;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;Male;3370
20.12.2013;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;Male;23782
20.12.2013;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;Male;2985
20.12.2013;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;Male;56086
20.12.2013;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;Male;85733
20.12.2013;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;149201
20.12.2013;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;183424
20.12.2013;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;24778
20.12.2013;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;53272
20.12.2013;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;Male;9272
20.12.2013;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;Male;6636
20.12.2013;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;11323
20.12.2013;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;14347
20.12.2013;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;2318
20.12.2013;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;Male;55316
20.12.2013;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;Male;17794
20.12.2013;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;Male;.
20.12.2013;All codes;All admissions;All admissions;Attributable number;Male;287900
20.12.2013;C00-D48;All cancers;All cancers;Attributable number;Male;109100
20.12.2013;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;Male;67300
20.12.2013;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;Male;93900
20.12.2013;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;Male;9400
20.12.2013;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;Male;40400
20.12.2013;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;Male;10700
20.12.2013;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;Male;14100
20.12.2013;C32;Larynx;Cancers which can be caused by smoking;Attributable number;Male;3200
20.12.2013;C53;Cervical;Cancers which can be caused by smoking;Attributable number;Male;.
20.12.2013;C67;Bladder;Cancers which can be caused by smoking;Attributable number;Male;24600
20.12.2013;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;Male;3100
20.12.2013;C16;Stomach;Cancers which can be caused by smoking;Attributable number;Male;3400
20.12.2013;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;Male;2800
20.12.2013;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;Male;1800
20.12.2013;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;Male;5100
20.12.2013;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;Male;2600
20.12.2013;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;Male;43900
20.12.2013;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;Male;20800
20.12.2013;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;26600
20.12.2013;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;45500
20.12.2013;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;4300
20.12.2013;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;9900
20.12.2013;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;Male;5700
20.12.2013;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;Male;1800
20.12.2013;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;Male;5900
20.12.2013;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;Male;2500
20.12.2013;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;Male;1000
20.12.2013;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;Male;6400
20.12.2013;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;Male;1700
20.12.2013;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;Male;.
20.12.2013;All codes;All admissions;All admissions;Number of admissions;Female;5452315
20.12.2013;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;Female;723009
20.12.2013;C00-D48;All cancers;All cancers;Number of admissions;Female;791327
20.12.2013;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;Female;273740
20.12.2013;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;Female;371044
20.12.2013;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;Female;669566
20.12.2013;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;Female;37739
20.12.2013;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;Female;5755
20.12.2013;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;Female;8273
20.12.2013;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;Female;794
20.12.2013;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;Female;6776
20.12.2013;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;Female;17928
20.12.2013;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;Female;4481
20.12.2013;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;Female;5550
20.12.2013;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;Female;10624
20.12.2013;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;Female;4233
20.12.2013;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;Female;16426
20.12.2013;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;Female;2648
20.12.2013;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;Female;60619
20.12.2013;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;Female;82845
20.12.2013;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;122926
20.12.2013;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;89913
20.12.2013;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;17121
20.12.2013;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;53185
20.12.2013;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;Female;2745
20.12.2013;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;Female;3635
20.12.2013;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;10870
20.12.2013;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;18216
20.12.2013;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;3647
20.12.2013;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;Female;76686
20.12.2013;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;Female;47796
20.12.2013;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;Female;11578
20.12.2013;All codes;All admissions;All admissions;Attributable number;Female;173000
20.12.2013;C00-D48;All cancers;All cancers;Attributable number;Female;47500
20.12.2013;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;Female;63700
20.12.2013;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;Female;40300
20.12.2013;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;Female;9100
20.12.2013;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;Female;27500
20.12.2013;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;Female;2800
20.12.2013;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;Female;4900
20.12.2013;C32;Larynx;Cancers which can be caused by smoking;Attributable number;Female;600
20.12.2013;C53;Cervical;Cancers which can be caused by smoking;Attributable number;Female;800
20.12.2013;C67;Bladder;Cancers which can be caused by smoking;Attributable number;Female;5100
20.12.2013;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;Female;400
20.12.2013;C16;Stomach;Cancers which can be caused by smoking;Attributable number;Female;600
20.12.2013;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;Female;2600
20.12.2013;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;Female;900
20.12.2013;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;Female;1500
20.12.2013;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;Female;2100
20.12.2013;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;Female;46300
20.12.2013;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;Female;15200
20.12.2013;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;12200
20.12.2013;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;16200
20.12.2013;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;3000
20.12.2013;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;7000
20.12.2013;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;Female;1500
20.12.2013;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;Female;400
20.12.2013;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;Female;4900
20.12.2013;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;Female;2800
20.12.2013;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;Female;1400
20.12.2013;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;Female;7200
20.12.2013;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;Female;4700
20.12.2013;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;Female;500
20.11.2012;All codes;All admissions;All admissions;Number of admissions;;10164003
20.11.2012;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;;1562569
20.11.2012;C00-D48;All cancers;All cancers;Number of admissions;;1532698
20.11.2012;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;;490804
20.11.2012;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;;893156
20.11.2012;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;;1362664
20.11.2012;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;;84241
20.11.2012;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;;20109
20.11.2012;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;;28923
20.11.2012;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;;4586
20.11.2012;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;;7083
20.11.2012;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;;83963
20.11.2012;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;;14632
20.11.2012;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;;20124
20.11.2012;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;;24531
20.11.2012;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;;8963
20.11.2012;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;;40136
20.11.2012;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;;5508
20.11.2012;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;;108359
20.11.2012;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;;145419
20.11.2012;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;265235
20.11.2012;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;277560
20.11.2012;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;;41486
20.11.2012;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;105488
20.11.2012;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;;12067
20.11.2012;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;;9366
20.11.2012;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;;22596
20.11.2012;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;;30389
20.11.2012;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;;5732
20.11.2012;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;;118410
20.11.2012;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;;65608
20.11.2012;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;;12055
20.11.2012;All codes;All admissions;All admissions;Attributable number;;459700
20.11.2012;C00-D48;All cancers;All cancers;Attributable number;;163700
20.11.2012;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;;121300
20.11.2012;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;;136400
20.11.2012;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;;18300
20.11.2012;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;;68500
20.11.2012;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;;13300
20.11.2012;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;;19300
20.11.2012;C32;Larynx;Cancers which can be caused by smoking;Attributable number;;3700
20.11.2012;C53;Cervical;Cancers which can be caused by smoking;Attributable number;;800
20.11.2012;C67;Bladder;Cancers which can be caused by smoking;Attributable number;;34100
20.11.2012;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;;3700
20.11.2012;C16;Stomach;Cancers which can be caused by smoking;Attributable number;;4300
20.11.2012;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;;5900
20.11.2012;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;;3200
20.11.2012;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;;6800
20.11.2012;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;;4700
20.11.2012;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;;84800
20.11.2012;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;;31800
20.11.2012;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;;38600
20.11.2012;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;;64100
20.11.2012;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;;7200
20.11.2012;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;;17000
20.11.2012;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;;7400
20.11.2012;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;;2000
20.11.2012;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;;11100
20.11.2012;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;;4900
20.11.2012;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;;2400
20.11.2012;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;;12600
20.11.2012;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;;6900
20.11.2012;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;;500
20.11.2012;All codes;All admissions;All admissions;Number of admissions;Male;4759706
20.11.2012;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;Male;859215
20.11.2012;C00-D48;All cancers;All cancers;Number of admissions;Male;750509
20.11.2012;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;Male;246349
20.11.2012;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;Male;514783
20.11.2012;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;Male;671345
20.11.2012;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;Male;47124
20.11.2012;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;Male;14501
20.11.2012;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;Male;20574
20.11.2012;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;Male;3722
20.11.2012;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;Male;.
20.11.2012;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;Male;63567
20.11.2012;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;Male;9595
20.11.2012;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;Male;14510
20.11.2012;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;Male;12698
20.11.2012;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;Male;3938
20.11.2012;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;Male;23681
20.11.2012;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;Male;2934
20.11.2012;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;Male;52881
20.11.2012;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;Male;74755
20.11.2012;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;145316
20.11.2012;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;184963
20.11.2012;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;24327
20.11.2012;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;52534
20.11.2012;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;Male;9302
20.11.2012;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;Male;6011
20.11.2012;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;11416
20.11.2012;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;13134
20.11.2012;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;2249
20.11.2012;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;Male;48495
20.11.2012;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;Male;16988
20.11.2012;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;Male;.
20.11.2012;All codes;All admissions;All admissions;Attributable number;Male;287000
20.11.2012;C00-D48;All cancers;All cancers;Attributable number;Male;113600
20.11.2012;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;Male;62800
20.11.2012;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;Male;94000
20.11.2012;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;Male;9100
20.11.2012;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;Male;41000
20.11.2012;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;Male;10500
20.11.2012;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;Male;14200
20.11.2012;C32;Larynx;Cancers which can be caused by smoking;Attributable number;Male;3000
20.11.2012;C53;Cervical;Cancers which can be caused by smoking;Attributable number;Male;.
20.11.2012;C67;Bladder;Cancers which can be caused by smoking;Attributable number;Male;27900
20.11.2012;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;Male;3200
20.11.2012;C16;Stomach;Cancers which can be caused by smoking;Attributable number;Male;3600
20.11.2012;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;Male;2900
20.11.2012;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;Male;2100
20.11.2012;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;Male;5200
20.11.2012;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;Male;2600
20.11.2012;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;Male;41600
20.11.2012;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;Male;18600
20.11.2012;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;26000
20.11.2012;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;46700
20.11.2012;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;4100
